warehouse_id,warehouse_name,warehouse_type,province_code,province_name,latitude,longitude,current_parent_center_id,annual_capacity_units,current_annual_demand_units,utilization_ratio
CEN-BEKASI,Bekasi Central Warehouse,central,IDN012,Jawa Barat,-6.241600,106.992400,,5390000,4684906,0.869185
CEN-SIDOARJO,Sidoarjo Central Warehouse,central,IDN015,Jawa Timur,-7.447800,112.718300,,2100000,1821127,0.867203
CEN-MAKASSAR,Makassar Central Warehouse,central,IDN027,Sulawesi Selatan,-5.147700,119.432700,,470000,402688,0.856783
FWD-MEDAN,Medan Forward Warehouse,forward,IDN002,Sumatera Utara,3.589700,98.673800,CEN-BEKASI,750000,663584,0.884779
FWD-PALEMBANG,Palembang Forward Warehouse,forward,IDN006,Sumatera Selatan,-2.990900,104.756600,CEN-BEKASI,1760000,1596887,0.907322
FWD-SEMARANG,Semarang Forward Warehouse,forward,IDN013,Jawa Tengah,-6.966700,110.416700,CEN-BEKASI,2550000,2424435,0.950759
FWD-DENPASAR,Denpasar Forward Warehouse,forward,IDN017,Bali,-8.670500,115.212600,CEN-SIDOARJO,930000,859244,0.923918
FWD-BANJARMASIN,Banjarmasin Forward Warehouse,forward,IDN022,Kalimantan Selatan,-3.318600,114.594400,CEN-SIDOARJO,430000,365547,0.850109
FWD-BALIKPAPAN,Balikpapan Forward Warehouse,forward,IDN023,Kalimantan Timur,-1.237900,116.852900,CEN-SIDOARJO,650000,596336,0.917440
FWD-MANADO,Manado Forward Warehouse,forward,IDN025,Sulawesi Utara,1.474800,124.842100,CEN-MAKASSAR,340000,300545,0.883956
FWD-JAYAPURA,Jayapura Forward Warehouse,forward,IDN033,Papua,-2.591600,140.669000,CEN-MAKASSAR,130000,102143,0.785715
