shipment_id,province,promised_date,delivered_date,units
S001,Jakarta,2026-07-01,2026-07-01,120
S002,Jakarta,2026-07-02,2026-07-03,80
S003,West Java,2026-07-01,2026-07-01,200
S004,West Java,2026-07-02,2026-07-02,150
S005,West Java,2026-07-03,2026-07-05,100
S006,Central Java,2026-07-01,2026-07-02,90
S007,Central Java,2026-07-02,2026-07-02,130
S008,Central Java,2026-07-03,2026-07-04,70
S009,East Java,2026-07-01,2026-07-01,160
S010,East Java,2026-07-02,2026-07-02,140
S011,East Java,2026-07-03,2026-07-04,110
S012,South Sulawesi,2026-07-01,2026-07-02,60
S013,South Sulawesi,2026-07-02,2026-07-02,75
S014,North Sumatra,2026-07-01,2026-07-01,95
S015,North Sumatra,2026-07-02,2026-07-04,85
S016,Bali,2026-07-01,2026-07-01,65
S017,Bali,2026-07-02,2026-07-02,55
S018,Bali,2026-07-03,2026-07-03,45
