origin_id,destination_id,destination_name,layer,distance_km,duration_hours,price_per_vehicle,currency,vehicle_capacity,method
WH-CENTER-JAKARTA,IDN-CITY-001,Jakarta,last_mile,0.000,0.000,40000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-002,Surabaya,last_mile,836.164,19.909,1250000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-003,Bekasi,last_mile,30.580,0.728,90000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-004,Bandung,last_mile,147.697,3.517,260000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-005,Medan,last_mile,1816.060,43.240,2680000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-006,Depok,last_mile,25.671,0.611,80000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-007,Tangerang,last_mile,22.600,0.538,80000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-008,Palembang,last_mile,546.451,13.011,840000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-009,Semarang,last_mile,533.475,12.702,810000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-010,Makassar,last_mile,1813.228,43.172,2640000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-011,Tangerang Selatan,last_mile,14.224,0.339,60000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-012,Batam,last_mile,1105.869,26.330,1640000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-013,Bandar Lampung,last_mile,247.631,5.896,400000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-014,Bogor,last_mile,43.055,1.025,110000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-015,Pekanbaru,last_mile,1217.217,28.981,1830000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-016,Padang,last_mile,1181.257,28.125,1730000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-017,Malang,last_mile,860.242,20.482,1310000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-018,Samarinda,last_mile,1677.634,39.944,2480000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-019,Denpasar,last_mile,1238.977,29.499,1840000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-020,Tasikmalaya,last_mile,264.239,6.291,430000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-021,Balikpapan,last_mile,1618.867,38.544,2420000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-022,Serang,last_mile,86.764,2.066,170000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-023,Pontianak,last_mile,960.286,22.864,1450000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-024,Banjarmasin,last_mile,1176.074,28.002,1750000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-025,Jambi,last_mile,804.614,19.157,1200000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-026,Manado,last_mile,2798.819,66.639,4080000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-027,Kupang,last_mile,2441.534,58.132,3560000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-028,Mataram,last_mile,1364.077,32.478,2010000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-029,Cilegon,last_mile,116.812,2.781,220000,IDR,1,haversine
WH-CENTER-JAKARTA,IDN-CITY-030,Yogyakarta,last_mile,554.565,13.204,850000,IDR,1,haversine
