candidate_id,candidate_name,province_code,province_name,latitude,longitude,annual_capacity_units,opening_cost_idr,annual_fixed_cost_idr,proposed_parent_center_id
CAN-BANDA-ACEH,Banda Aceh Candidate,IDN001,Aceh,5.548300,95.323800,250000,46500000000,7125000000,CEN-BEKASI
CAN-PADANG,Padang Candidate,IDN003,Sumatera Barat,-0.947100,100.417200,250000,46500000000,7125000000,CEN-BEKASI
CAN-PEKANBARU,Pekanbaru Candidate,IDN004,Riau,0.507100,101.447800,250000,46500000000,7125000000,CEN-BEKASI
CAN-JAMBI,Jambi Candidate,IDN005,Jambi,-1.610100,103.613100,250000,46500000000,7125000000,CEN-BEKASI
CAN-BENGKULU,Bengkulu Candidate,IDN007,Bengkulu,-3.792800,102.260800,250000,46500000000,7125000000,CEN-BEKASI
CAN-BANDAR-LAMPUNG,Bandar Lampung Candidate,IDN008,Lampung,-5.397100,105.266800,250000,46500000000,7125000000,CEN-BEKASI
CAN-PONTIANAK,Pontianak Candidate,IDN020,Kalimantan Barat,-0.026300,109.342500,250000,46500000000,7125000000,CEN-BEKASI
CAN-PALANGKARAYA,Palangkaraya Candidate,IDN021,Kalimantan Tengah,-2.216100,113.913700,250000,46500000000,7125000000,CEN-SIDOARJO
CAN-SAMARINDA,Samarinda Candidate,IDN023,Kalimantan Timur,-0.502200,117.153600,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-TARAKAN,Tarakan Candidate,IDN024,Kalimantan Utara,3.300000,117.633300,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-MATARAM,Mataram Candidate,IDN018,Nusa Tenggara Barat,-8.583300,116.116700,250000,46500000000,7125000000,CEN-SIDOARJO
CAN-KUPANG,Kupang Candidate,IDN019,Nusa Tenggara Timur,-10.177200,123.607000,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-PALU,Palu Candidate,IDN026,Sulawesi Tengah,-0.900300,119.878000,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-KENDARI,Kendari Candidate,IDN028,Sulawesi Tenggara,-3.998500,122.512000,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-AMBON,Ambon Candidate,IDN031,Maluku,-3.695400,128.181400,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-TERNATE,Ternate Candidate,IDN032,Maluku Utara,0.790700,127.384200,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-SORONG,Sorong Candidate,IDN034,Papua Barat Daya,-0.876200,131.255800,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-MANOKWARI,Manokwari Candidate,IDN035,Papua Barat,-0.861500,134.062000,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-NABIRE,Nabire Candidate,IDN037,Papua Tengah,-3.400000,135.500000,250000,46500000000,7125000000,CEN-MAKASSAR
CAN-MERAUKE,Merauke Candidate,IDN036,Papua Selatan,-8.493200,140.401800,250000,46500000000,7125000000,CEN-MAKASSAR
