quote_id,leg_type,origin_warehouse_id,destination_type,destination_id,destination_name,haversine_km,road_factor,estimated_distance_km,base_idr_per_demand_unit,distance_rate_idr_per_km_per_demand_unit,lane_factor,noise_factor,quoted_idr_per_demand_unit,is_current_lane
LH-CEN-BEKASI-FWD-MEDAN,linehaul,CEN-BEKASI,forward_warehouse,FWD-MEDAN,Medan Forward Warehouse,1431.121,1.250,1788.902,900,7.00,1.160,1.0059,15700,true
LH-CEN-BEKASI-FWD-PALEMBANG,linehaul,CEN-BEKASI,forward_warehouse,FWD-PALEMBANG,Palembang Forward Warehouse,438.229,1.250,547.786,900,7.00,1.160,0.9970,5500,true
LH-CEN-BEKASI-FWD-SEMARANG,linehaul,CEN-BEKASI,forward_warehouse,FWD-SEMARANG,Semarang Forward Warehouse,386.733,1.250,483.417,900,7.00,1.000,1.0136,4300,true
LH-CEN-BEKASI-FWD-DENPASAR,linehaul,CEN-BEKASI,forward_warehouse,FWD-DENPASAR,Denpasar Forward Warehouse,945.623,1.250,1182.028,900,7.00,1.160,0.9770,10400,false
LH-CEN-BEKASI-FWD-BANJARMASIN,linehaul,CEN-BEKASI,forward_warehouse,FWD-BANJARMASIN,Banjarmasin Forward Warehouse,902.804,1.250,1128.504,900,7.00,1.160,1.0185,10400,false
LH-CEN-BEKASI-FWD-BALIKPAPAN,linehaul,CEN-BEKASI,forward_warehouse,FWD-BALIKPAPAN,Balikpapan Forward Warehouse,1227.130,1.250,1533.912,900,7.00,1.160,0.9854,13300,false
LH-CEN-BEKASI-FWD-MANADO,linehaul,CEN-BEKASI,forward_warehouse,FWD-MANADO,Manado Forward Warehouse,2159.347,1.250,2699.184,900,7.00,1.160,1.0298,23600,false
LH-CEN-BEKASI-FWD-JAYAPURA,linehaul,CEN-BEKASI,forward_warehouse,FWD-JAYAPURA,Jayapura Forward Warehouse,3754.577,1.250,4693.221,900,7.00,1.320,0.9927,44200,false
LH-CEN-BEKASI-CAN-BANDA-ACEH,linehaul,CEN-BEKASI,candidate_warehouse,CAN-BANDA-ACEH,Banda Aceh Candidate,1842.861,1.250,2303.577,900,7.00,1.160,1.0555,20800,false
LH-CEN-BEKASI-CAN-PADANG,linehaul,CEN-BEKASI,candidate_warehouse,CAN-PADANG,Padang Candidate,937.368,1.250,1171.710,900,7.00,1.160,1.0384,11000,false
LH-CEN-BEKASI-CAN-PEKANBARU,linehaul,CEN-BEKASI,candidate_warehouse,CAN-PEKANBARU,Pekanbaru Candidate,970.491,1.250,1213.113,900,7.00,1.160,1.0248,11200,false
LH-CEN-BEKASI-CAN-JAMBI,linehaul,CEN-BEKASI,candidate_warehouse,CAN-JAMBI,Jambi Candidate,636.932,1.250,796.165,900,7.00,1.160,1.0458,7900,false
LH-CEN-BEKASI-CAN-BENGKULU,linehaul,CEN-BEKASI,candidate_warehouse,CAN-BENGKULU,Bengkulu Candidate,590.590,1.250,738.238,900,7.00,1.160,1.0354,7300,false
LH-CEN-BEKASI-CAN-BANDAR-LAMPUNG,linehaul,CEN-BEKASI,candidate_warehouse,CAN-BANDAR-LAMPUNG,Bandar Lampung Candidate,212.735,1.250,265.918,900,7.00,1.160,0.9850,3200,false
LH-CEN-BEKASI-CAN-PONTIANAK,linehaul,CEN-BEKASI,candidate_warehouse,CAN-PONTIANAK,Pontianak Candidate,738.682,1.250,923.352,900,7.00,1.160,1.0422,8900,false
LH-CEN-BEKASI-CAN-PALANGKARAYA,linehaul,CEN-BEKASI,candidate_warehouse,CAN-PALANGKARAYA,Palangkaraya Candidate,888.367,1.250,1110.458,900,7.00,1.160,0.9735,9800,false
LH-CEN-BEKASI-CAN-SAMARINDA,linehaul,CEN-BEKASI,candidate_warehouse,CAN-SAMARINDA,Samarinda Candidate,1295.533,1.250,1619.416,900,7.00,1.160,0.9788,13900,false
LH-CEN-BEKASI-CAN-TARAKAN,linehaul,CEN-BEKASI,candidate_warehouse,CAN-TARAKAN,Tarakan Candidate,1587.926,1.250,1984.907,900,7.00,1.160,0.9607,16500,false
LH-CEN-BEKASI-CAN-MATARAM,linehaul,CEN-BEKASI,candidate_warehouse,CAN-MATARAM,Mataram Candidate,1039.159,1.250,1298.949,900,7.00,1.240,1.0070,12500,false
LH-CEN-BEKASI-CAN-KUPANG,linehaul,CEN-BEKASI,candidate_warehouse,CAN-KUPANG,Kupang Candidate,1879.669,1.250,2349.586,900,7.00,1.240,0.9999,21500,false
LH-CEN-BEKASI-CAN-PALU,linehaul,CEN-BEKASI,candidate_warehouse,CAN-PALU,Palu Candidate,1547.970,1.250,1934.962,900,7.00,1.160,1.0155,17000,false
