city_id,city_name,province_id,province_name,admin2_id,admin2_name,population,demand_quantity,longitude,latitude
IDN-CITY-001,Jakarta,IDN-PROV-JAKARTA,Jakarta,IDN-ADM2-3_0_0-B205,Kota Jakarta Selatan,10562088,10563,106.781882,-6.255465
IDN-CITY-002,Surabaya,IDN-PROV-EAST-JAVA,East Java,IDN-ADM2-3_0_0-B258,Kota Surabaya,2874314,2875,112.616599,-7.224981
IDN-CITY-003,Bekasi,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B186,Kota Bekasi,2543676,2544,106.983834,-6.178947
IDN-CITY-004,Bandung,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B178,Kota Bandung,2510103,2511,107.576190,-6.929437
IDN-CITY-005,Medan,IDN-PROV-NORTH-SUMATRA,North Sumatra,IDN-ADM2-3_0_0-B223,Kota Medan,2435252,2436,98.686754,3.617313
IDN-CITY-006,Depok,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B199,Kota Depok,2056335,2057,106.897137,-6.394783
IDN-CITY-007,Tangerang,IDN-PROV-BANTEN,Banten,IDN-ADM2-3_0_0-B260,Kota Tangerang,1930556,1931,106.666689,-6.145467
IDN-CITY-008,Palembang,IDN-PROV-SOUTH-SUMATRA,South Sumatra,IDN-ADM2-3_0_0-B231,Kota Palembang,1668848,1669,104.749826,-2.993686
IDN-CITY-009,Semarang,IDN-PROV-CENTRAL-JAVA,Central Java,IDN-ADM2-3_0_0-B249,Kota Semarang,1653524,1654,110.474234,-7.028734
IDN-CITY-010,Makassar,IDN-PROV-SOUTH-SULAWESI,South Sulawesi,IDN-ADM2-3_0_0-B219,Kota Makassar,1423877,1424,119.530699,-5.086978
IDN-CITY-011,Tangerang Selatan,IDN-PROV-BANTEN,Banten,IDN-ADM2-3_0_0-B261,Kota Tangerang Selatan,1354350,1355,106.684544,-6.280471
IDN-CITY-012,Batam,IDN-PROV-RIAU-ISLANDS,Riau Islands,IDN-ADM2-3_0_0-B183,Kota Batam,1196396,1197,103.948439,0.981155
IDN-CITY-013,Bandar Lampung,IDN-PROV-LAMPUNG,Lampung,IDN-ADM2-3_0_0-B177,Kota Bandar Lampung,1166066,1167,105.254610,-5.407757
IDN-CITY-014,Bogor,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B192,Kota Bogor,1043070,1044,106.765832,-6.557546
IDN-CITY-015,Pekanbaru,IDN-PROV-RIAU,Riau,IDN-ADM2-3_0_0-B240,Kota Pekanbaru,983356,984,101.466775,0.452204
IDN-CITY-016,Padang,IDN-PROV-WEST-SUMATRA,West Sumatra,IDN-ADM2-3_0_0-B226,Kota Padang,909040,910,100.395556,-0.937033
IDN-CITY-017,Malang,IDN-PROV-EAST-JAVA,East Java,IDN-ADM2-3_0_0-B220,Kota Malang,843810,844,112.626321,-7.957954
IDN-CITY-018,Samarinda,IDN-PROV-EAST-KALIMANTAN,East Kalimantan,IDN-ADM2-3_0_0-B247,Kota Samarinda,827994,828,117.065138,-0.455355
IDN-CITY-019,Denpasar,IDN-PROV-BALI,Bali,IDN-ADM2-3_0_0-B198,Kota Denpasar,725314,726,115.221655,-8.655251
IDN-CITY-020,Tasikmalaya,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B265,Kota Tasikmalaya,733467,734,108.235506,-7.423242
IDN-CITY-021,Balikpapan,IDN-PROV-EAST-KALIMANTAN,East Kalimantan,IDN-ADM2-3_0_0-B175,Kota Balikpapan,704110,705,116.996737,-1.202072
IDN-CITY-022,Serang,IDN-PROV-BANTEN,Banten,IDN-ADM2-3_0_0-B250,Kota Serang,692101,693,106.180136,-6.138282
IDN-CITY-023,Pontianak,IDN-PROV-WEST-KALIMANTAN,West Kalimantan,IDN-ADM2-3_0_0-B242,Kota Pontianak,658685,659,109.373867,-0.024150
IDN-CITY-024,Banjarmasin,IDN-PROV-SOUTH-KALIMANTAN,South Kalimantan,IDN-ADM2-3_0_0-B181,Kota Banjarmasin,657663,658,114.549389,-3.360475
IDN-CITY-025,Jambi,IDN-PROV-JAMBI,Jambi,IDN-ADM2-3_0_0-B208,Kota Jambi,604736,605,103.548039,-1.612665
IDN-CITY-026,Manado,IDN-PROV-NORTH-SULAWESI,North Sulawesi,IDN-ADM2-3_0_0-B221,Kota Manado,451916,452,124.874513,1.517023
IDN-CITY-027,Kupang,IDN-PROV-EAST-NUSA-TENGGARA,East Nusa Tenggara,IDN-ADM2-3_0_0-B213,Kota Kupang,442758,443,123.666733,-10.143742
IDN-CITY-028,Mataram,IDN-PROV-WEST-NUSA-TENGGARA,West Nusa Tenggara,IDN-ADM2-3_0_0-B222,Kota Mataram,441561,442,116.153243,-8.603566
IDN-CITY-029,Cilegon,IDN-PROV-BANTEN,Banten,IDN-ADM2-3_0_0-B195,Kota Cilegon,434896,435,105.994028,-6.010640
IDN-CITY-030,Yogyakarta,IDN-PROV-SPECIAL-REGION-OF-YOGYAKARTA,Special Region of Yogyakarta,IDN-ADM2-3_0_0-B272,Kota Yogyakarta,414704,415,110.377182,-7.820787
IDN-CITY-031,Jayapura,IDN-PROV-PAPUA,Papua,IDN-ADM2-3_0_0-B209,Kota Jayapura,398478,399,140.748088,-2.640855
IDN-CITY-032,Bengkulu,IDN-PROV-BENGKULU,Bengkulu,IDN-ADM2-3_0_0-B187,Kota Bengkulu,373591,374,102.265653,-3.743539
IDN-CITY-033,Palu,IDN-PROV-CENTRAL-SULAWESI,Central Sulawesi,IDN-ADM2-3_0_0-B233,Kota Palu,373218,374,119.863882,-0.923711
IDN-CITY-034,Sukabumi,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B256,Kota Sukabumi,353838,354,106.954876,-6.940151
IDN-CITY-035,Ambon,IDN-PROV-MALUKU,Maluku,IDN-ADM2-3_0_0-B174,Kota Ambon,347484,348,128.182366,-3.650005
IDN-CITY-036,Kendari,IDN-PROV-SOUTHEAST-SULAWESI,Southeast Sulawesi,IDN-ADM2-3_0_0-B211,Kota Kendari,345107,346,122.494827,-3.957986
IDN-CITY-037,Cirebon,IDN-PROV-WEST-JAVA,West Java,IDN-ADM2-3_0_0-B197,Kota Cirebon,341235,342,108.550103,-6.701504
IDN-CITY-038,Dumai,IDN-PROV-RIAU,Riau,IDN-ADM2-3_0_0-B200,Kota Dumai,323452,324,101.150993,1.850198
IDN-CITY-039,Binjai,IDN-PROV-NORTH-SUMATRA,North Sumatra,IDN-ADM2-3_0_0-B189,Kota Binjai,291842,292,98.447037,3.544366
